"Promotion ID","Advertiser","Advertiser ID","Type","Code","Description","Starts","Ends","Categories","Regions","Terms","Deeplink Tracking","Deeplink","Commission Groups","Commission","Exclusive","Date Added","Title","Campaign"
"4038627","Fastshop BR","17590","promotion","","Caixa de som Bluetooth JBL PartyBox Club 130 com 200W de potencia e AI Sound Boost LPB130","31/07/2026 00:00:00","03/08/2026 23:59:59","Home Appliances","Brazil","..","https://www.awin1.com/cread.php?awinmid=17590&awinaffid=2104315&ued=https%3A%2F%2Fsite.fastshop.com.br%2Fcaixa-de-som-bluetooth-jbl-partybox-club-130-com-200w-de-potencia-e-ai-sound-boost---lpb130-jblpb130pto_prd-184097%2Fp","https://site.fastshop.com.br/caixa-de-som-bluetooth-jbl-partybox-club-130-com-200w-de-potencia-e-ai-sound-boost---lpb130-jblpb130pto_prd-184097/p","","","no","31/07/2026 17:35:23","Caixa de som Bluetooth JBL PartyBox Club 130 com 200W de potencia e AI Sound Boost LPB130",""
"4038513","Brinox Shop BR","25279","voucher","ESTADAOBRINOX","15% OFF para parceiros Estadão","06/08/2026 00:00:00","13/08/2026 23:59:00","Cookware & Utensils","Brazil",".","https://www.awin1.com/cread.php?awinmid=25279&awinaffid=2104315&ued=https%3A%2F%2Fwww.brinox.com.br%2F","https://www.brinox.com.br/","","","no","31/07/2026 13:40:37","15% OFF para parceiros Estadão",""
"4038055","Fastshop BR","17590","voucher","YOGA300","R$300 OFF no Notebook Lenovo Yoga Slim 7i Intel Core Ultra 5","31/07/2026 00:00:00","31/08/2026 23:00:00","Home & Garden","Brazil","..","https://www.awin1.com/cread.php?awinmid=17590&awinaffid=2104315&ued=https%3A%2F%2Fsite.fastshop.com.br%2Fcolecao%2F4278","https://site.fastshop.com.br/colecao/4278","","","no","31/07/2026 13:03:31","R$300 OFF no Notebook Lenovo Yoga Slim 7i Intel Core Ultra 5",""
"4038051","Fastshop BR","17590","voucher","EDGE600","R$1000 OFF no Motorola Edge 70, 5G, Gadget Gray","31/07/2026 00:00:00","16/08/2026 23:00:00","Home & Garden","Brazil","..","https://www.awin1.com/cread.php?awinmid=17590&awinaffid=2104315&ued=https%3A%2F%2Fsite.fastshop.com.br%2Fcolecao%2F4319","https://site.fastshop.com.br/colecao/4319","","","no","31/07/2026 13:03:21","R$1000 OFF no Motorola Edge 70, 5G, Gadget Gray",""
"4038047","Fastshop BR","17590","voucher","EDGE1000","R$1000 OFF no Motorola Edge 70 5G Crystals","31/07/2026 00:00:00","16/08/2026 23:00:00","Home & Garden","Brazil","..","https://www.awin1.com/cread.php?awinmid=17590&awinaffid=2104315&ued=https%3A%2F%2Fsite.fastshop.com.br%2Fcolecao%2F3910","https://site.fastshop.com.br/colecao/3910","","","no","31/07/2026 13:03:10","R$1000 OFF no Motorola Edge 70 5G Crystals",""
"4038041","Fastshop BR","17590","voucher","SIGNATURE2700","R$2700 no Signature Motrorola","31/07/2026 00:00:00","16/08/2026 23:00:00","Home & Garden","Brazil","..","https://www.awin1.com/cread.php?awinmid=17590&awinaffid=2104315&ued=https%3A%2F%2Fsite.fastshop.com.br%2Fcolecao%2F3909","https://site.fastshop.com.br/colecao/3909","","","no","31/07/2026 13:03:00","R$2700 no Signature Motrorola",""
"4038037","Fastshop BR","17590","voucher","BRINOX5","5% OFF em itens selecinados Brinox","01/08/2026 00:00:00","31/08/2026 23:00:00","Home & Garden","Brazil","..","https://www.awin1.com/cread.php?awinmid=17590&awinaffid=2104315&ued=https%3A%2F%2Fsite.fastshop.com.br%2Fcolecao%2F4192","https://site.fastshop.com.br/colecao/4192","","","no","31/07/2026 13:02:50","5% OFF em itens selecinados Brinox",""
"4038035","Fastshop BR","17590","voucher","ART5 ","5% OFF em itens selecinados Artmobilia","31/07/2026 00:00:00","31/08/2026 23:00:00","Home & Garden","Brazil","..","https://www.awin1.com/cread.php?awinmid=17590&awinaffid=2104315&ued=https%3A%2F%2Fsite.fastshop.com.br%2Fcolecao%2F4286","https://site.fastshop.com.br/colecao/4286","","","no","31/07/2026 13:02:38","5% OFF em itens selecinados Artmobilia",""
"4038031","Fastshop BR","17590","voucher","MULTI5","5% OFF em itens selecinados Multi","31/07/2026 00:00:00","31/08/2026 23:00:00","Home & Garden","Brazil","..","https://www.awin1.com/cread.php?awinmid=17590&awinaffid=2104315&ued=https%3A%2F%2Fsite.fastshop.com.br%2Fcolecao%2F4331","https://site.fastshop.com.br/colecao/4331","","","no","31/07/2026 13:02:26","5% OFF em itens selecinados Multi",""
"4038025","Under Armour BR","18864","promotion","","Lancamento tenis de treino Tribase Reps 3 ideal para treinos e alta performance","31/07/2026 00:00:00","27/09/2026 23:59:59","Clothing & Accessories","Brazil","..","https://www.awin1.com/cread.php?awinmid=18864&awinaffid=2104315&ued=https%3A%2F%2Fwww.underarmour.com.br%2Freps","https://www.underarmour.com.br/reps","","","no","31/07/2026 13:01:52","Lancamento tenis de treino Tribase Reps 3 ideal para treinos e alta performance",""
